,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
31,Leandro Bacuna\Leandro-Bacuna,cw CUW,MFDF,Cardiff City,26,1991,11,561,51,16.4,6.2,4,92,7,28,3,1.36,7,14,-7,-1.12,-0.24,7,10.9,-3.9,-0.63,-0.06,Matches
32,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,24,1994,12,638,53,18.7,7.1,8,78,4,5,9,2.17,14,13,1,0.14,-0.18,8.8,9.5,-0.7,-0.1,-0.5,Matches
33,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,33,1984,6,375,63,11,4.2,5,72,1,14,25,1.5,8,6,2,0.48,0.3,3.9,6.3,-2.4,-0.57,-0.68,Matches
34,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,26,1991,23,2013,88,58.9,22.4,23,88,0,,4,1.35,33,32,1,0.04,0.3,31,33.9,-2.9,-0.13,0.45,Matches
35,Leon Balogun\Leon-Balogun,ng NGA,DF,Brighton,30,1988,8,594,74,17.4,6.6,5,91,3,47,18,1.25,6,10,-4,-0.61,0.06,6.3,9.1,-2.8,-0.43,0.19,Matches
36,Sol Bamba\Sol-Bamba,ci CIV,DF,Cardiff City,33,1985,28,2474,88,72.3,27.5,28,88,0,,1,0.89,25,52,-27,-0.98,-0.22,29,42.8,-13.8,-0.5,0.28,Matches
37,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,33,1985,19,1670,88,48.8,18.6,19,88,0,,12,1.26,22,27,-5,-0.27,0.66,21.8,28.6,-6.8,-0.36,0.38,Matches
38,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,24,1993,27,1245,46,36.4,13.8,13,75,14,19,9,2,28,13,15,1.08,0.71,24.3,11.2,13.1,0.95,0.52,Matches
39,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,28,1989,37,2388,65,69.8,26.5,26,85,11,17,1,1,35,41,-6,-0.23,1.26,32.5,38.7,-6.2,-0.23,1.07,Matches
40,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,20,1997,16,1004,63,29.4,11.2,11,79,5,27,1,1.25,19,16,3,0.27,0.27,19.2,11.1,8.1,0.73,0.78,Matches
41,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,5,5,0.1,0.1,0,,1,4,2,0,0,0,0,0,0.16,0,0.4,-0.4,-7.23,-6.88,Matches
42,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,750,68,21.9,8.3,9,79,2,19,3,2,18,11,7,0.84,1.14,12.6,10,2.6,0.31,0.34,Matches
43,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,2151,86,62.9,23.9,24,88,1,35,1,1.2,32,37,-5,-0.21,0.85,26.6,34.4,-7.8,-0.33,-0.2,Matches
44,Asmir Begovi?\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,2160,90,63.2,24,24,90,0,,12,1.13,32,47,-15,-0.62,-0.7,33,34,-1,-0.04,0.07,Matches
45,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,1533,81,44.8,17,18,84,1,21,0,1.95,36,21,15,0.88,0.55,24.8,21,3.8,0.22,0.27,Matches
46,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,2639,88,77.2,29.3,30,88,0,,7,0.83,25,50,-25,-0.85,0.3,32.2,48.8,-16.7,-0.57,0.05,Matches
47,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,3060,90,89.5,34,34,90,0,,2,1.65,44,38,6,0.18,1.43,47.5,33.7,13.8,0.41,1,Matches
48,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,18,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
49,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,814,51,23.8,9,9,80,7,14,4,1.25,11,13,-2,-0.22,-0.22,12.4,13.4,-1,-0.11,-0.2,Matches
50,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,1752,60,51.2,19.5,19,82,10,19,2,1,24,39,-15,-0.77,-0.34,23,35.2,-12.2,-0.63,-0.14,Matches
51,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,2116,62,61.9,23.5,25,77,9,21,1,1.44,29,19,10,0.43,0.56,28,24.3,3.6,0.15,0.3,Matches
52,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,1752,80,51.2,19.5,19,89,3,19,12,1.09,17,29,-12,-0.62,0.09,16.1,23.9,-7.8,-0.4,0.37,Matches
53,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,2160,90,63.2,24,24,90,0,,1,0.96,26,42,-16,-0.67,-0.38,29.4,33.4,-4.1,-0.17,0.22,Matches
54,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,630,90,18.4,7,7,90,0,,15,0.71,10,20,-10,-1.43,-0.24,7.7,16,-8.3,-1.19,-0.63,Matches
55,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,2188,81,64,24.3,25,85,2,28,1,0.52,15,43,-28,-1.15,0.75,19,35.5,-16.4,-0.68,0.64,Matches
56,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,1774,63,51.9,19.7,17,88,11,26,6,0.93,16,32,-16,-0.81,-0.32,16.8,30.4,-13.6,-0.69,-0.23,Matches
57,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,27,1991,36,3167,88,92.6,35.2,36,88,0,,0,1.42,40,41,-1,-0.03,-0.74,46.2,37.1,9.1,0.26,-0.55,Matches
58,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,135,19,3.9,1.5,0,,7,18,12,1.43,4,0,4,2.67,2.75,5.7,0.9,4.7,3.15,2.96,Matches
59,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,1808,82,52.9,20.1,19,90,3,32,16,0.77,18,34,-16,-0.8,-0.29,19.2,35.2,-15.9,-0.79,-0.45,Matches
