,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Salomón Rondón\Salomon-Rondon,Newcastle Utd,538,772,69.7,7637,1552,7,3.3,3.7,30,42,22,3,55,Matches
Danny Rose\Danny-Rose,Tottenham,869,1173,74.1,15202,5536,3,2.1,0.9,26,58,34,16,130,Matches
Aaron Rowe\Aaron-Rowe,Huddersfield,13,17,76.5,191,90,0,0,0,0,0,0,0,1,Matches
John Ruddy\John-Ruddy,Wolves,15,21,71.4,593,437,0,0,0,0,0,0,0,0,Matches
Antonio Rüdiger\Antonio-Rudiger,Chelsea,2310,2528,91.4,48449,15729,0,0.5,-0.5,5,177,10,0,149,Matches
Mathew Ryan\Mathew-Ryan,Brighton,551,1017,54.2,25422,19509,0,0,0,0,38,0,0,0,Matches
Abdelhamid Sabiri\Abdelhamid-Sabiri,Huddersfield,8,10,80,109,13,0,0,0,0,0,0,0,0,Matches
Romain Saïss\Romain-Saiss,Wolves,553,706,78.3,12205,3854,0,0.3,-0.3,3,60,5,2,59,Matches
Bukayo Saka\Bukayo-Saka,Arsenal,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Mamadou Sakho\Mamadou-Sakho,Crystal Palace,1135,1285,88.3,22516,10185,0,0.5,-0.5,7,81,3,0,100,Matches
Bakary Sako\Bakary-Sako,Crystal Palace,9,13,69.2,175,10,0,0,0,0,1,0,0,0,Matches
Mohamed Salah\Mohamed-Salah,Liverpool,864,1150,75.1,12874,3831,8,9.1,-1.1,68,58,74,7,158,Matches
Alexis Sánchez\Alexis-Sanchez,Manchester Utd,292,409,71.4,5023,1544,3,3.1,-0.1,20,25,26,5,51,Matches
Carlos Sánchez\Carlos-Sanchez,West Ham,124,140,88.6,2633,552,0,0.1,-0.1,2,14,1,0,10,Matches
Davinson Sánchez\Davinson-Sanchez,Tottenham,1289,1424,90.5,27790,7391,1,0,1,1,42,0,0,52,Matches
Leroy Sané\Leroy-Sane,Manchester City,750,954,78.6,10896,2395,10,6.6,3.4,36,26,39,2,93,Matches
Fabian Schär\Fabian-Schar,Newcastle Utd,699,1029,67.9,18070,8149,1,0.6,0.4,11,86,9,1,77,Matches
Christopher Schindler\Christopher-Schindler,Huddersfield,1271,1501,84.7,28298,8473,0,0.2,-0.2,1,74,2,0,71,Matches
Jeffrey Schlupp\Jeffrey-Schlupp,Crystal Palace,484,646,74.9,7386,2273,1,1.5,-0.5,17,49,12,3,60,Matches
Kasper Schmeichel\Kasper-Schmeichel,Leicester City,825,1208,68.3,30971,19665,0,0.4,-0.4,1,10,0,0,3,Matches
Morgan Schneiderlin\Morgan-Schneiderlin,Everton,484,544,89,8828,2093,1,0.6,0.4,9,48,4,0,29,Matches
André Schürrle\Andre-Schurrle,Fulham,426,571,74.6,6862,1662,0,1.6,-1.6,21,33,26,9,52,Matches
Ken Sema\Ken-Sema,Watford,186,261,71.3,2729,583,2,0.4,1.6,7,11,5,0,20,Matches
Jean Seri\Jean-Seri,Fulham,1433,1712,83.7,27643,7130,2,3.8,-1.8,55,124,24,5,172,Matches
Ryan Sessegnon\Ryan-Sessegnon,Fulham,582,829,70.2,9632,3688,6,4.8,1.2,30,34,16,4,91,Matches
Xherdan Shaqiri\Xherdan-Shaqiri,Liverpool,545,695,78.4,9989,2667,3,1.9,1.1,19,49,36,7,80,Matches
Luke Shaw\Luke-Shaw,Manchester Utd,1657,1984,83.5,25802,11131,4,3.5,0.5,33,122,36,9,238,Matches
Jonjo Shelvey\Jonjo-Shelvey,Newcastle Utd,458,678,67.6,11182,4414,1,1.4,-0.4,24,79,20,6,99,Matches
Gylfi Sigurðsson\Gylfi-Sigurdsson,Everton,830,1231,67.4,14768,5597,6,7,-1,72,99,48,8,190,Matches
Adrien Silva\Adrien-Silva,Leicester City,70,79,88.6,1225,319,0,0,0,0,9,1,0,6,Matches
Bernardo Silva\Bernardo-Silva,Manchester City,1513,1798,84.1,25650,5777,7,7.4,-0.4,70,96,57,5,168,Matches
David Silva\David-Silva,Manchester City,1783,2083,85.6,29033,6374,8,9,-1,73,136,84,5,204,Matches
Xande Silva\Xande-Silva,West Ham,3,5,60,35,2,0,0,0,1,0,0,0,0,Matches
Danny Simpson\Danny-Simpson,Leicester City,108,154,70.1,2075,913,0,0,0,1,5,0,0,21,Matches
Jack Simpson\Jack-Simpson,Bournemouth,191,225,84.9,4173,1490,0,0.1,-0.1,1,12,1,0,10,Matches
Josh Sims\Josh-Sims,Southampton,36,46,78.3,532,153,1,0.5,0.5,2,1,2,2,3,Matches
Moussa Sissoko\Moussa-Sissoko,Tottenham,1205,1397,86.3,20391,4909,3,2.4,0.6,23,106,13,3,102,Matches
Oliver Skipp\Oliver-Skipp,Tottenham,116,137,84.7,2054,451,0,0,0,1,7,0,0,5,Matches
Callum Slattery\Callum-Slattery,Southampton,21,32,65.6,363,92,0,0,0,0,3,1,0,3,Matches
Chris Smalling\Chris-Smalling,Manchester Utd,800,924,86.6,16968,4212,0,0.4,-0.4,3,21,1,0,38,Matches
Adam Smith\Adam-Smith,Bournemouth,860,1072,80.2,14416,5450,1,0.8,0.2,10,73,16,3,116,Matches
Tommy Smith\Tommy-Smith,Huddersfield,470,618,76.1,8737,3011,0,0.5,-0.5,9,32,7,4,57,Matches
Robert Snodgrass\Robert-Snodgrass,West Ham,875,1156,75.7,14746,4474,5,4.9,0.1,61,81,31,6,138,Matches
Cédric Soares\Cedric-Soares,Southampton,577,822,70.2,10022,4230,2,1.2,0.8,13,50,20,10,91,Matches
Ramadan Sobhi\Ramadan-Sobhi,Huddersfield,37,44,84.1,456,165,0,0.3,-0.3,4,0,3,1,7,Matches
Dominic Solanke\Dominic-Solanke,Bournemouth,73,101,72.3,894,185,1,0.6,0.4,8,3,2,0,6,Matches
Pape Souaré\Pape-Souare,Crystal Palace,3,3,100,88,0,0,0,0,0,0,0,0,0,Matches
Ça?lar Söyüncü\Caglar-Soyuncu,Leicester City,183,215,85.1,3477,1215,0,0,0,0,11,2,1,16,Matches
Julián Speroni\Julian-Speroni,Crystal Palace,16,36,44.4,809,687,0,0,0,0,2,0,0,0,Matches
Junior Stanislas\Junior-Stanislas,Bournemouth,409,537,76.2,6607,2288,3,2.1,0.9,15,30,29,5,66,Matches
Dale Stephens\Dale-Stephens,Brighton,1145,1369,83.6,25024,6533,1,0.8,0.2,21,140,11,0,126,Matches
Jack Stephens\Jack-Stephens,Southampton,599,793,75.5,12501,5043,0,0.1,-0.1,4,51,4,0,60,Matches
Raheem Sterling\Raheem-Sterling,Manchester City,1099,1337,82.2,15362,3204,9,9.2,-0.2,58,22,52,5,100,Matches
John Stones\John-Stones,Manchester City,1646,1741,94.5,33895,9566,0,0.2,-0.2,5,111,5,0,86,Matches
Daniel Sturridge\Daniel-Sturridge,Liverpool,148,188,78.7,2544,746,1,1.2,-0.2,8,13,11,0,31,Matches
Denis Suárez\Denis-Suarez,Arsenal,32,35,91.4,444,69,0,0,0,0,2,1,0,2,Matches
Isaac Success\Isaac-Success,Watford,262,369,71,4137,885,1,2.1,-1.1,19,14,22,4,35,Matches
Ki Sung-yueng\Ki-Sung-yueng,Newcastle Utd,520,644,80.7,11230,3045,1,0.9,0.1,15,52,8,0,82,Matches
Andrew Surman\Andrew-Surman,Bournemouth,725,839,86.4,13930,3962,0,0.7,-0.7,9,66,18,1,85,Matches
