Player,Pos,90s,xA,xG,Recov,CrsPA,Tkl,TklW
Tyrone Mings\Tyrone-Mings,DF,32.2,0.7,1.1,330,1,25,17
Tyrick Mitchell\Tyrick-Mitchell,DF,2.2,0.2,0,18,3,6,2
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FW,1.2,0.2,0.2,12,0,0,0
Nacho Monreal\Nacho-Monreal,DF,3,0.2,0.1,17,0,4,4
Martín Montoya\Martin-Montoya,DF,21.1,1.4,1.3,161,18,49,28
Simon Moore\Simon-Moore,GK,2,0,0,10,0,0,0
Aaron Mooy\Aaron-Mooy,MFFW,23.2,3.3,2,189,7,43,31
Wesley Moraes\Wesley-Moraes,FW,19.8,0.8,5.2,60,0,14,10
Wes Morgan\Wes-Morgan,DF,4.8,0,0.1,43,0,5,4
Ravel Morrison\Ravel-Morrison,MF,0.1,0,0,2,0,0,0
Mason Mount\Mason-Mount,MFFW,31.9,4.6,7,214,6,48,31
Lucas Moura\Lucas-Moura,FWMF,24.9,2.4,5.7,199,3,53,33
Lys Mousset\Lys-Mousset,FW,13.8,2.5,4.9,66,1,11,4
João Moutinho\Joao-Moutinho,MF,34.5,6.3,0.8,355,12,92,54
Glenn Murray\Glenn-Murray,FW,8.9,0.5,2.1,36,0,3,2
Shkodran Mustafi\Shkodran-Mustafi,DF,13.4,0,0.8,126,0,14,9
Yoshinori Mut?\Yoshinori-Muto,FWMF,2.4,0.1,0.1,9,1,3,2
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,FW,0,0,0,0,0,0,0
Marvelous Nakamba\Marvelous-Nakamba,MF,20.4,0.5,0.2,236,0,65,47
Wilfred Ndidi\Wilfred-Ndidi,MF,29.7,0.4,1.8,430,0,125,76
Tanguy Ndombele\Tanguy-Ndombele,MF,11.2,1.2,0.4,109,0,27,19
Reiss Nelson\Reiss-Nelson,FW,7,0.7,0.9,34,4,12,6
Pedro Neto\Pedro-Neto,FWMF,10.4,2.3,2,82,4,11,5
Rúben Neves\Ruben-Neves,MF,34,2,1.7,470,2,64,42
Jeremy Ngakia\Jeremy-Ngakia,DF,4.9,0,0,38,1,19,12
Oumar Niasse\Oumar-Niasse,FW,0.2,0,0,1,0,4,1
